version:v1.0,,,,,,,,,,,,,,,,
Name [displayName] Required,User name [userPrincipalName] Required,Initial password [passwordProfile] Required,Block sign in (Yes/No) [accountEnabled] Required,First name [givenName],Last name [surname],Job title [jobTitle],Department [department],Usage location [usageLocation],Street address [streetAddress],State or province [state],Country or region [country],Office [physicalDeliveryOfficeName],City [city],ZIP or postal code [postalCode],Office phone [telephoneNumber],Mobile phone [mobile]
Example: Chris Green, chris@contoso.com,Azure@123456, No,,,,,,,,,,,,,
u1,u1@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u2,u2@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u3,u3@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u4,u4@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u5,u5@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u6,u6@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u7,u7@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u8,u8@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u9,u9@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u10,u10@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u11,u11@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u12,u12@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
u13,u13@supportquatrain.onmicrosoft.com,Azure@123456, No,,,,,,,,,,,,,
